,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
d6n6R3R6d005d05,2.21,24,0.14,30.2,56.55
d5n8R0R6d1d05,2.46,739.44,0,2860.3,3602.2
d5n8R0R6d01d05,3.18,27.04,0.67,51.62,82.51
d5n8R0R6d05d05,2.68,289.41,0,3308.02,3600.11
d5n8R0R6d005d05,0.79,15.43,0.25,12.28,28.75
d5n8R2R6d1d1,1.79,831.86,0,2768.37,3602.02
d5n8R2R6d01d1,1.56,60.07,0.67,146.19,208.49
d5n8R2R6d1d05,1.08,1087.29,0,2512.83,3601.2
d5n8R2R6d01d05,2.89,48.28,0.57,1127.65,1179.39
d5n8R2R6d05d1,0.74,438.02,0,3163.32,3602.08
d5n8R2R6d005d1,0.42,34.72,0.33,24.71,60.18
d5n8R2R6d05d05,0.66,525.26,0,3075.32,3601.24
d5n8R2R6d005d05,0.72,27.8,0.41,44.5,73.43
d5n8R4R6d1d1,1.55,3555.34,0,45.25,3602.14
d5n8R4R6d01d1,0.51,62.12,0.48,274.43,337.54
d5n8R4R6d1d05,1.14,2697.42,0,906.52,3605.08
d5n8R4R6d01d05,0.92,48.61,0.67,368.7,418.9
d5n8R4R6d05d1,0.81,583.28,0,3017.34,3601.43
d5n8R4R6d005d1,0.44,24.01,0.4,32.38,57.23
d5n8R4R6d05d05,0.97,1128.57,0,2470.79,3600.33
d5n8R4R6d005d05,0.46,43.71,0.3,50.8,95.27
d4n12R0R7d1d05,1.71,1968.71,0,1631.44,3601.86
d4n12R0R7d05d05,0.94,579.74,0,3019.68,3600.36
d4n12R3R7d1d1,2.06,3439.76,0,158.28,3600.1
d4n12R3R7d1d05,1.81,1835.18,0,1764.16,3601.15
d4n12R3R7d05d1,0.88,683.47,0,2917.03,3601.38
d4n12R3R7d05d05,1.37,909.79,0,2688.89,3600.05
d4n12R6R7d1d1,2.01,3598.33,0,0,3600.34
d4n12R6R7d1d05,1.88,3598.14,0,0,3600.02
d4n12R6R7d05d1,1.03,1748.11,0,1851.55,3600.69
d4n12R6R7d05d05,1.12,798.49,0,2800.43,3600.04
d3n16R0R9d1d05,2.39,439.85,8.18,952.29,1402.71
d3n16R4R9d1d05,1.48,838.7,6.67,2093.77,2940.62
d3n16R8R9d01d1,0.5,8.23,0.5,29.46,38.69
d3n16R8R9d0005d05,0.27,0.59,0.07,0.14,1.07
tuncphd_19,0.27,0.32,0.01,0.02,0.62
tuncphd_20,0.23,0.08,0.01,0.09,0.41
tuncphd_22,0.31,0.04,0.01,0,0.36
tuncphd_23,0.28,0.04,0.01,0.16,0.49
tuncphd_24,0.29,0.57,0.01,1.61,2.48
tuncphd_27,0.37,0.04,0.01,0,0.42
tuncphd_29,0.25,0.12,0.04,1.24,1.65
tuncphd_30,0.31,0.06,0,3599.69,3600.06
tuncphd_31,0.38,0.05,0.02,0.08,0.53
tuncphd_33,0.3,0.05,0,3599.71,3600.06
