,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
d5n8R2R6d005d1,0.46,17.99,0.01,46.67,65.13
d5n8R2R6d05d05,0.8,240.68,0,3358.67,3600.15
d5n8R2R6d005d05,0.34,12.4,0.01,64.17,76.92
d5n8R4R6d1d1,1.15,2379.31,0,1219.58,3600.04
d5n8R4R6d01d1,0.52,30.37,0.02,180.61,211.52
d5n8R4R6d1d05,1.27,1617.43,0,1984.79,3603.49
d5n8R4R6d01d05,0.42,23.64,0.03,677.58,701.67
d5n8R4R6d05d1,0.75,493.8,0,3106.86,3601.41
d5n8R4R6d005d1,0.48,19.7,0.01,43.46,63.65
d5n8R4R6d05d05,0.67,656.75,0,2944.58,3602
d5n8R4R6d005d05,0.52,20.73,0.01,51.43,72.69
d4n12R0R7d1d05,1.76,684.93,0,2914.01,3600.7
d4n12R0R7d05d05,1.34,202.75,0.19,1617.03,1821.31
d4n12R3R7d1d1,1.84,1630.93,0,1967.29,3600.06
d4n12R3R7d1d05,1.75,1437.81,0,2160.48,3600.04
d4n12R3R7d05d1,1.03,446.45,0,3152.54,3600.02
d4n12R3R7d05d05,1.16,398.5,0,3200.38,3600.04
d4n12R6R7d1d1,1.85,3623.71,0,0,3625.56
d4n12R6R7d1d05,2.08,3597.97,0,0,3600.05
d4n12R6R7d05d1,1.13,1387,0,2212.89,3601.02
d4n12R6R7d05d05,0.94,547.78,0,3051.35,3600.07
d3n16R0R9d1d05,1.18,75.38,0.22,843.21,919.99
d3n16R4R9d1d05,1.32,369.6,0,3229.16,3600.08
d3n16R8R9d01d1,0.55,5.82,0.02,32.74,39.13
d3n16R8R9d0005d05,0.36,0.19,0,0.51,1.06
tuncphd_19,0.3,0.02,0,0.16,0.48
tuncphd_20,0.29,0.01,0,0.06,0.36
tuncphd_22,0.3,0.01,0,0.07,0.38
tuncphd_23,0.29,0,0,0.23,0.52
tuncphd_24,0.31,0.02,0,0,0.33
tuncphd_27,0.28,0.01,0,0.01,0.3
tuncphd_29,0.32,0.03,0,1.47,1.82
tuncphd_30,0.37,0.01,0,3599.7,3600.08
tuncphd_31,0.36,0.03,0,0.11,0.5
tuncphd_33,0.31,0.01,0,3602.5,3602.82
