,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
d5n8R2R6d01d05,0.59,1.53,0.73,1366.87,1369.72
d5n8R2R6d05d1,0.83,5.94,0,3593.35,3600.12
d5n8R2R6d005d1,0.47,0.8,0.32,26.99,28.58
d5n8R2R6d05d05,0.82,5.65,0,3603.47,3609.94
d5n8R2R6d005d05,0.4,0.79,0.37,49.7,51.26
d5n8R4R6d1d1,1.13,13.38,0,3592.03,3606.54
d5n8R4R6d01d1,0.68,0.67,1.53,380.52,383.4
d5n8R4R6d1d05,1.73,19.44,0,3581.16,3602.33
d5n8R4R6d01d05,0.79,0.72,0.66,465.47,467.64
d5n8R4R6d05d1,0.91,6.73,0,3592.49,3600.13
d5n8R4R6d005d1,0.39,0.35,0.36,35.25,36.35
d5n8R4R6d05d05,0.7,4.16,0,3597.44,3602.3
d5n8R4R6d005d05,0.46,0.47,0.33,52.81,54.07
d4n12R0R7d1d05,1.88,20.79,0,3577.47,3600.14
d4n12R0R7d05d05,0.88,6.18,5.15,1282.2,1294.41
d4n12R3R7d1d1,1.53,14.88,0,3585.63,3602.04
d4n12R3R7d1d05,1.74,17,0,3582.99,3601.73
d4n12R3R7d05d1,0.93,6.86,0,3593.21,3601
d4n12R3R7d05d05,0.97,7.63,0,3592.55,3601.15
d4n12R6R7d1d1,2.16,18.76,0,3581.13,3602.05
d4n12R6R7d1d05,1.73,17.35,0,3581.03,3600.11
d4n12R6R7d05d1,1.14,7.05,0,3592.73,3600.92
d4n12R6R7d05d05,0.98,6.79,0,3593.92,3601.69
d3n16R0R9d1d05,1.41,9.12,9.71,184.36,204.6
d3n16R4R9d1d05,1.14,15.31,6.74,1448.35,1471.54
d3n16R8R9d01d1,0.62,0.88,0.7,45.23,47.43
d3n16R8R9d0005d05,0.39,0.09,0.08,0.62,1.18
tuncphd_19,0.43,0.02,0.02,0.5,0.97
tuncphd_20,0.32,0.02,0.01,0.37,0.72
tuncphd_22,0.32,0.02,0.01,0.36,0.71
tuncphd_23,0.27,0.01,0.01,0.29,0.58
tuncphd_24,0.36,0.02,0.03,0,0.41
tuncphd_27,0.26,0.03,0.02,0.01,0.32
tuncphd_29,0.31,0.1,0.07,1.57,2.05
tuncphd_30,0.38,0.08,0,3599.59,3600.05
tuncphd_31,0.41,0.03,0.02,0.33,0.79
tuncphd_33,0.43,0.03,0,3599.69,3600.15
